userid,content,star_rating,time
yuji******,배송이 생각보단 조금 더 걸렸지만 상품 자체는 너무 마음에 들어요 확실히 다른 사이트에서 파는 동일 상품에 비해 프린팅이 선명한 것 같아요  다만 보온이 안 되다보니 겉면에 물방울이 많이 맺혀요&hellip; 컵홀더가 필요할 것 같아요 구매하실 분들은 컵홀더까지 고려해보시는 걸 추천해요,5,2022-10-23T18:53:51.305+00:00
bjh1***,선물용인데 잘 쓰겠습니다^^,5,2022-12-12T13:19:18.499+00:00
mbc2***,ㅎㅎ좋아요 사진 그대로,5,2022-11-13T20:13:34.829+00:00
drji****,벤티 다 담고도 남아요. 가벼워서 들고 다니기 좋아요,5,2022-10-30T02:10:06.042+00:00
seop********,빠른배송하고 맘에드는제품잘받았슴다,5,2022-11-21T11:25:29.114+00:00
ma****,가볍고 용량이 큰게 맘에듭니다,5,2022-11-01T18:04:03.298+00:00
ma****,배송빠르고 가볍고 용량이 딱 좋아요,5,2022-10-27T06:38:44.035+00:00
fla9***,가격도 저렴하고 배송도 빠르고 너무 좋아요^^ 커피 마실라고 샀는데 딱이네요ㅎㅎ,5,2022-10-27T15:03:08.616+00:00
hall****,너무필요한건데 조하요,5,2022-10-21T07:12:34.885+00:00
syje****,옙버여   요즘 학교갈때 맨날 여기에 커피 담아서 들구댕겨용,5,2022-10-13T10:16:22.275+00:00
gues*****,좋습니다 좋습니다 좋습니다 좋와요,5,2022-10-30T15:49:41.114+00:00
alse******,배송 빠르고 좋습니다.,5,2022-09-29T05:27:15.296+00:00
hall****,젛아요 가벼워서 너무조하요,5,2022-10-22T09:34:51.651+00:00
rde1***,오 벤티라 클줄 알았는데 제 생각보단 작아서 좋았어요!! 가볍고 이쁨,5,2022-08-30T07:01:54.085+00:00
gues*****,배송 제품 포장 좋습니다 좋와요  재구매의사 있음,5,2022-09-15T05:37:11.076+00:00
jeey********,실링도 잘 되고 불투명컵이라 매력있습니다. 회사에서 물 많이 마시려고 구입했는데 확실히 손이 잘 가네요.,5,2022-09-01T00:13:07.574+00:00
davi******,물 많이 마시려고 샀어요 찬 음료를 넣었을 때 표면에 물방울이 맺히지만 실리콘 슬리브 끼니까 불편하지도 않고 좋아요! 찬 음료 드시는 분들은 슬리브 꼭 사세요!,5,2022-08-12T10:28:26.649+00:00
mudo*****,평범한 예쁨 이라고 할까요 . 맘에 들어서 곧바로 유용하게 사용하고 있습니다,5,2022-08-27T00:41:55.584+00:00
myso***,배송 빨라요. 사용하기 편해요,4,2022-08-26T00:14:32.794+00:00
fuwl****,좋아요 배송빷랑숗ㅎ,5,2022-08-08T10:05:11.398+00:00
myso***,박스가 없어 선물하기가 좀 그러네요,4,2022-08-26T00:13:51.551+00:00
bts2***,배송 빠르고 가벼워요,4,2022-08-24T09:23:58.867+00:00
shyu*****,배송도 빠르고 깔끔하고 가벼워요,5,2022-07-25T01:57:05.687+00:00
dalb****,오래쓰면 변색 되긴하지만 그래도 좋아요,5,2022-08-06T11:15:19.528+00:00
moon****,사이즈가 커서 아이스아메리카노에 얼음잔득 넣어서 먹기 딱이에요 대용량 커피 전문점 테이크아웃 해서 먹기도 좋아요,5,2022-06-29T14:29:39.182+00:00
sya0***,너무 너무 마음에 들어요,5,2022-07-07T08:30:05.747+00:00
sya0***,가벼워서 들고 다니기 편해요,5,2022-07-01T18:41:53.289+00:00
s1****,원래 쓰던 게 3년 정도 쓰다 보니 뚜껑이 헐거워져서 바꾸려고 보다가 여기서 주문했습니다~ 원래 쓰던 거라 가볍고 좋아요.  단점이라고 하면 이중컵이 아니라 겉면에 이슬 맺히는 건데 별로 신경 안 쓰는 스타일이라 사용하는데 불편함은 잘 못 느꼈어요. 이번에 2개 주문했는데 잘 쓰겠습니다~,5,2022-06-15T10:08:07.275+00:00
khsp***,시원하게 얼음에 커피타먹기 좋아요,5,2022-06-22T23:54:39.306+00:00
aldo***,좋아요! 구입하길 잘한거 같아요!,5,2022-06-18T05:44:16.418+00:00
aldo***,좋아요! 구입하길 잘한거 같아요!,5,2022-06-18T05:44:01.304+00:00
choj******,좋네요 가격도 저렴하고 아아 먹기 딱 좋아요^^,5,2022-06-15T04:54:10.166+00:00
wldn*****,너무좋아요 다시살일 있으면 여기서,5,2022-07-07T09:58:16.815+00:00
mode*******,예쁘고 가볍고 쓰기 좋아요,5,2022-06-21T13:36:16.392+00:00
love****,편하기좋아요  그리고 무엇보다 투명이자나요  내용물 담으면 보기에도 좋구요!   강추드려요 !,5,2022-06-09T00:52:47.997+00:00
mode*******,사용하기 편하고 예뻐요,5,2022-06-21T13:35:26.169+00:00
baek**********,저는 거의 매일 텀블러를 사용해서 가볍고 막 들고 다니기 좋은 걸 찾다가 이 제품을 사게 됐는데 크기에 비해 정말 가볍고 빨대도 생각보다 세척하는 게 너무 번거롭진 않아서 아주 만족스럽게 잘 사용하고 있습니다!  다만 한 가지 아쉬운 것은 리유저블컵이 보온 보냉은 전혀 안되다 보니 얼음이 든 음료를 마시면 컵 겉면에 물방울이 많이 맺힙니다!  그리고 가끔 이 컵에 방울토마토나 샤인머스캣같이 작고 먹기 편한 과일들을 씻어서 여기에 담아다니기도 했어요~ 컵이 불투명해서 과일 색깔이 예쁘게 보이더라구요😄,5,2022-05-09T08:24:54.466+00:00
silv********,생각보다 체감이 커요. 하지만 디자인 좋고 만족합니다,4,2022-06-03T14:36:51.292+00:00
chtm******,튼튼해서 좋아요 굿,5,2022-06-16T04:11:33.505+00:00
worl*******,배송 빠르고 빨대 청소용 솔도 들어있어서 편리하고 좋네요,5,2022-06-07T06:30:59.346+00:00
wldb********,물을 자주먹는 직업이라서 너무 좋아요 가격도 싸고용,5,2022-06-20T02:07:23.861+00:00
asdd*****,좋아요 여름이라 잘쓸듯합니다 사이즈비교 ㅎ,5,2022-06-04T01:01:34.427+00:00
ol****,배송도 빠루고 제품  서비스 다 만족합니다.,5,2022-06-30T00:27:17.978+00:00
whdb******,아주만족하고 잘사용중입니다! 동생이 자기도 사달라거 조르네요 ㅋㅋㅋ,5,2022-06-16T11:40:49.332+00:00
joon********,이쁘네요 새척솔도 같이 있어서 너무 좋아요,5,2022-05-22T14:24:48.899+00:00
sugu****,화면과 동일하고~~~ 전용세척솔도 좋아요!! 날씨가 더워져 필요했는데 잘 구매했어요. 배송도 빨라요,5,2022-04-30T04:31:39.567+00:00
wing***,핫컵의 위생이 좋지 않았어요..,4,2022-06-17T08:05:39.977+00:00
choi******,생각보다 가볍고 시원함도 잘 유지되서 좋아요^^,5,2022-05-18T21:23:33.106+00:00
ccc8***,생각보다 단단해서 좋았고  투명해서 내용물 비치는 게 예쁘네요.. 잘 쓰겠습니다!,5,2022-05-14T03:31:25.052+00:00
ma48****,반투명이라서 어느 음료를 넣어도 너무 예뻐요!!,5,2022-05-13T08:12:14.415+00:00
chwj****,뚜껑이 잘 안닫히나 몇번 꾹 눌러 닫으면 다음부턴 잘들어가네요,4,2022-06-06T01:52:34.543+00:00
gt****,다 만족하는데 뚜껑이 단단한 느낌은 아니라서 쓰다보면 헐거워질까봐 좀 불안해요..,4,2022-05-12T08:06:17.836+00:00
